,Unnamed: 0,num_nodes,num_edges,time,Degree mean,Degree std,Top10Degree mean,Top10Degree std,Top10 Degree mean ratio,DCmean,DCstd,clustermean,clusterstd,modularity,transitivity,eig_mean,eig_std,closenessmean,closenessstd,Components_cnt,giant_com_ratio,token,core_cnt,core_ratio,avg_core_neighbor
64,64,804,887,2022/05/14,2.206467662,7.094604124,46.6,44.64477075,21.11972943,0.00274778,0.008835123,0.006286486,0.071366369,0.803331728,0.002115556,0.012966857,0.032817392,0.143099496,0.067688664,51,0.842039801,AAVE,3,0.003731343,97.66666667
65,65,834,955,2022/06/14,2.290167866,6.08856005,45,31.34396983,19.64921466,0.002749301,0.007309196,0.016782313,0.109796063,0.786634138,0.006837812,0.012979177,0.032121938,0.141319135,0.067724775,60,0.833333333,AAVE,6,0.007194245,58.5
66,66,1296,1720,2021/07/14,2.654320988,9.526680105,87.7,59.94080413,33.04046512,0.002049669,0.00735651,0.02215327,0.131473515,0.721558106,0.003944101,0.011100711,0.02547312,0.184579158,0.067458912,57,0.900462963,AAVE,9,0.006944444,92.22222222
67,67,1118,1280,2021/08/14,2.28980322,8.114451213,58.6,62.48590952,25.59171875,0.002049958,0.007264504,0.009242215,0.090796505,0.778934021,0.000858928,0.011106186,0.027781241,0.149579566,0.069145614,69,0.849731664,AAVE,1,0.000894454,235
68,68,1324,1687,2021/09/14,2.548338369,9.111300798,77.7,65.86864032,30.49045643,0.001926182,0.006886849,0.018029882,0.117248725,0.727381781,0.003911547,0.010689095,0.025328142,0.160896305,0.07202068,81,0.851963746,AAVE,17,0.012839879,61.35294118
69,69,817,982,2021/10/14,2.403916769,7.071649025,47.8,40.9737043,19.88421589,0.002945976,0.008666237,0.014716812,0.108669037,0.746044379,0.003856572,0.013738966,0.032194715,0.151223969,0.070614327,55,0.842105263,AAVE,15,0.018359853,40
70,70,879,994,2021/11/14,2.261660978,6.837506937,46.7,43.21535221,20.64854125,0.002575924,0.007787593,0.006583086,0.070660193,0.770220923,0.001515987,0.012531975,0.031332458,0.141148441,0.06830832,67,0.833902162,AAVE,1,0.001137656,169
71,71,1203,1279,2021/12/14,2.12635079,11.5250142,83.4,99.70757243,39.22212666,0.001769011,0.009588198,0.001952849,0.041864049,0.811248159,7.38E-05,0.010903771,0.026701229,0.110477567,0.038416174,47,0.646716542,AAVE,2,0.00166251,258
72,72,700,836,2022/01/15,2.388571429,5.9881032,38.8,31.22605749,16.24401914,0.003417127,0.008566671,0.00435775,0.056673051,0.759147999,0.00153363,0.013821738,0.035203713,0.153099579,0.066308077,42,0.861428571,AAVE,1,0.001428571,124
73,73,579,648,2022/02/15,2.238341969,4.941370586,29.7,23.06054832,13.26875,0.003872564,0.008549084,0.009051272,0.092681531,0.77840173,0.001908883,0.014940195,0.038813763,0.126851868,0.067048436,47,0.797927461,AAVE,13,0.022452504,26.53846154
74,74,986,1025,2022/03/15,2.079107505,14.6243601,69.8,134.6747522,33.57209756,0.002110769,0.014847066,0.0035302,0.055641856,0.719786794,0.000112742,0.016021241,0.027537024,0.167955495,0.078049093,46,0.855983773,AAVE,2,0.002028398,256
75,75,443,479,2022/04/15,2.162528217,3.705290936,21.7,12.32927861,10.03455115,0.004892598,0.008383011,0.001668581,0.022486405,0.784334535,0.001672241,0.018034062,0.044005457,0.109056044,0.064831804,46,0.744920993,AAVE,8,0.018058691,24.25
76,76,698,795,2022/05/15,2.277936963,5.864574021,36.8,32.69658494,16.15496855,0.003268202,0.008414023,0.015805667,0.111936113,0.776693169,0.006693337,0.013564441,0.035361875,0.130913547,0.071330018,61,0.785100287,AAVE,5,0.007163324,17.4
77,77,777,888,2022/06/15,2.285714286,5.188032848,38.5,21.25637159,16.84375,0.002945508,0.006685609,0.011611895,0.085493322,0.797974495,0.007250755,0.011901217,0.033865001,0.123734863,0.064766752,61,0.800514801,AAVE,15,0.019305019,32.4
78,78,1158,1461,2021/07/15,2.523316062,8.778798538,71,60.3158354,28.137577,0.002180913,0.007587553,0.009670184,0.09338435,0.734651943,0.001217793,0.011524057,0.027044141,0.180254545,0.06465087,50,0.909326425,AAVE,1,0.000863558,236
79,79,1060,1223,2021/08/15,2.30754717,7.817786772,58,55.55777773,25.13491415,0.002178987,0.007382235,0.012179453,0.099420227,0.759243486,0.002120079,0.01144775,0.028515125,0.140138203,0.071648508,85,0.811320755,AAVE,1,0.000943396,215
80,80,1357,1694,2021/09/15,2.496683861,8.808819791,73.2,66.73962674,29.3188902,0.001841212,0.00649618,0.024391953,0.14211738,0.742980991,0.004406644,0.010086525,0.025212102,0.149999551,0.071968957,93,0.830508475,AAVE,17,0.012527634,59.17647059
81,81,842,961,2021/10/15,2.282660333,6.990457811,46.8,44.19099959,20.50239334,0.002714222,0.008312078,0.012189679,0.104621016,0.764620404,0.001515291,0.013242219,0.031835448,0.130833343,0.070045548,66,0.796912114,AAVE,1,0.001187648,171
82,82,803,905,2021/11/15,2.254047323,6.310954568,44.5,33.59315406,19.74226519,0.002810533,0.007869021,0.002125565,0.037792394,0.786539483,0.001403755,0.012765561,0.032919904,0.143007221,0.067614851,54,0.835616438,AAVE,15,0.01867995,36.66666667
83,83,949,1042,2021/12/15,2.195995785,11.12707311,64.1,91.66903027,29.18949136,0.002316451,0.011737419,0.001409549,0.034206563,0.760265583,5.01E-05,0.01394806,0.02932744,0.121745319,0.047779649,42,0.576396207,AAVE,2,0.002107482,211
84,84,657,756,2022/01/16,2.301369863,6.058446126,38.4,31.45437613,16.68571429,0.003508186,0.009235436,0.011862689,0.092461455,0.77015971,0.006450127,0.014721216,0.036157236,0.144756778,0.067173538,44,0.838660578,AAVE,4,0.00608828,65.5
85,85,496,528,2022/02/16,2.129032258,4.521495671,24.5,21.78302091,11.50757576,0.004301075,0.009134335,0.004869154,0.056758776,0.796186295,0.002652051,0.016325367,0.041870586,0.113288023,0.064043778,44,0.776209677,AAVE,1,0.002016129,85
86,86,1338,1458,2022/03/16,2.179372197,17.80230819,101.9,188.8647076,46.75658436,0.001630047,0.013315115,0.009629114,0.087014744,0.706549269,0.000379245,0.013876575,0.023563527,0.174661649,0.071874279,53,0.890881913,AAVE,2,0.001494768,355.5
87,87,449,468,2022/04/16,2.084632517,3.392081103,19.9,11.35732754,9.546047009,0.004653198,0.00757161,0.007713132,0.072505343,0.809527723,0.006807131,0.015434771,0.044647273,0.102741461,0.059332347,44,0.76169265,AAVE,12,0.026726058,18.25
88,88,784,951,2022/05/16,2.426020408,5.846668849,42.9,26.50974664,17.68328076,0.003098366,0.00746701,0.011765796,0.083667082,0.764829429,0.007327996,0.012007294,0.033656797,0.143289417,0.063959068,55,0.853316327,AAVE,9,0.011479592,45.22222222
89,89,751,884,2022/06/16,2.354194407,5.533387665,40.1,24.70470041,17.0334276,0.003138926,0.00737785,0.021525176,0.131979865,0.768048361,0.008520038,0.012930642,0.034145408,0.132104474,0.071568275,62,0.784287617,AAVE,5,0.00665779,56.2
90,90,1089,1340,2021/07/16,2.46097337,7.896887846,65.5,46.31594398,26.61548507,0.002261924,0.007258169,0.012843452,0.102994109,0.744294943,0.003762332,0.011179064,0.028178561,0.167662686,0.068673317,62,0.873278237,AAVE,14,0.012855831,56.21428571
91,91,1297,1606,2021/08/16,2.476484194,8.870272727,77,62.29142977,31.09246575,0.001910867,0.006844346,0.016298171,0.112293458,0.749091591,0.002867639,0.01036167,0.025771261,0.160739849,0.066570311,67,0.873554356,AAVE,12,0.00925212,70.75
92,92,1122,1404,2021/09/16,2.502673797,7.957653982,62.8,53.16598746,25.09316239,0.002232537,0.00709871,0.010743369,0.08856736,0.74491177,0.00319132,0.011377407,0.027613399,0.166187253,0.067342633,58,0.88057041,AAVE,1,0.000891266,212
93,93,923,1079,2021/10/16,2.338028169,7.213248176,51.9,44.54573181,22.19819277,0.002535822,0.00782348,0.013627112,0.106052983,0.751764884,0.004600865,0.012491942,0.030469342,0.146114321,0.072606081,72,0.820151679,AAVE,1,0.001083424,175
94,94,885,1080,2021/11/16,2.440677966,7.136844017,53,39.40389152,21.71527778,0.002760948,0.008073353,0.006636006,0.068401006,0.744815672,0.001371058,0.012880848,0.031066345,0.174604964,0.060306022,38,0.915254237,AAVE,14,0.015819209,45.5
95,95,613,679,2021/12/16,2.215334421,5.965529503,34.5,32.10140184,15.57326951,0.003619827,0.009747597,0.012361907,0.096288295,0.78892875,0.003585147,0.014986555,0.037536957,0.129825566,0.066170724,40,0.781402936,AAVE,1,0.001631321,122
96,96,593,688,2022/01/17,2.320404722,6.145631703,32.7,35.01444147,14.09236919,0.003919603,0.010381135,0.001319507,0.027503214,0.743060016,0.000744725,0.016432747,0.037665606,0.145768305,0.068804983,42,0.84148398,AAVE,1,0.001686341,131
97,97,544,592,2022/02/17,2.176470588,4.580175639,26.6,22.01110831,12.22162162,0.004008233,0.008434946,0.00692402,0.076840723,0.800408887,0.00093882,0.014999372,0.040202303,0.120132246,0.064627145,42,0.795955882,AAVE,3,0.005514706,50.66666667
